Date,Open,High,Low,Close,Volume,Adj Close
2009-09-01,4.189,4.391,4.017,4.048,000,4.048
2009-08-03,4.368,4.67,4.176,4.181,000,4.181
2009-07-01,4.375,4.656,4.156,4.311,000,4.311
2009-06-01,4.374,5.066,4.266,4.311,000,4.311
2009-05-01,4.078,4.628,4.032,4.338,000,4.338
2009-04-01,3.526,4.092,3.494,4.044,000,4.044
2009-03-02,3.648,3.846,3.374,3.561,000,3.561
2009-02-02,3.59,3.763,3.414,3.722,000,3.722
2009-01-02,2.657,3.611,2.62,3.603,000,3.603
2008-12-01,3.385,3.388,2.519,2.691,000,2.691
2008-11-03,4.374,4.374,3.468,3.487,000,3.487
2008-10-01,4.237,4.375,3.884,4.369,000,4.369
2008-09-02,4.442,4.476,3.895,4.305,000,4.305
2008-08-01,4.572,4.722,4.364,4.412,000,4.412
2008-07-01,4.501,4.717,4.404,4.603,000,4.603
2008-06-02,4.705,4.813,4.493,4.531,000,4.531
2008-05-01,4.486,4.807,4.423,4.707,000,4.707
2008-04-01,4.348,4.624,4.275,4.497,000,4.497
2008-03-03,4.447,4.609,4.164,4.306,000,4.306
2008-02-01,4.352,4.72,4.28,4.421,000,4.421
2008-01-02,4.451,4.467,4.102,4.354,000,4.354
2007-12-03,4.376,4.686,4.309,4.459,000,4.459
2007-11-01,4.727,4.729,4.279,4.403,000,4.403
2007-10-01,4.831,4.928,4.626,4.751,000,4.751
2007-09-04,4.816,4.959,4.617,4.833,000,4.833
2007-08-01,4.902,5.055,4.814,4.831,000,4.831
2007-07-02,5.133,5.291,4.915,4.922,000,4.922
2007-06-01,5.019,5.408,4.996,5.126,000,5.126
2007-05-01,4.805,5.051,4.758,5.011,000,5.011
2007-04-02,4.836,4.943,4.796,4.817,000,4.817
2007-03-01,4.648,4.855,4.621,4.848,000,4.848
2007-02-01,4.913,4.943,4.625,4.669,000,4.669
2007-01-03,4.766,5.021,4.687,4.926,000,4.926
2006-12-01,4.578,4.843,4.525,4.818,000,4.818
2006-11-01,4.72,4.83,4.561,4.561,000,4.561
2006-10-02,4.784,4.976,4.711,4.719,000,4.719
2006-09-01,4.869,4.977,4.676,4.767,000,4.767
2006-08-01,5.082,5.12,4.876,4.878,000,4.878
2006-07-03,5.201,5.292,5.051,5.07,000,5.07
2006-06-01,5.238,5.285,4.998,5.186,000,5.186
2006-05-01,5.155,5.307,5.073,5.207,000,5.207
2006-04-03,4.928,5.224,4.872,5.169,000,5.169
2006-03-01,4.53,4.921,4.519,4.893,000,4.893
2006-02-01,4.695,4.735,4.46,4.503,000,4.503
2006-01-03,4.587,4.734,4.475,4.685,000,4.685
2005-12-01,4.683,4.779,4.479,4.547,000,4.547
2005-11-01,4.742,4.879,4.604,4.703,000,4.703
